TrendRank	VideoID	VideoTitle	Category	Published	ChannelID	ChannelName	TrendDate	Views	NumberOfComment
1	https://www.youtube.com/watch?v=HHCHVTlOcrs	Ýstiklal Caddesi saldýrganýnýn kimliði belirlendi ve ilk ifadesi ortaya çýktý!		2022-11-14T08:51:39Z	UCV6zcRug6Hqp1UX_FdyUeBg	CNN TÜRK	22.14.11	1074114	3439
2	https://www.youtube.com/watch?v=t0fY86x_Xl8	Taksim Ýstiklal Caddesi'ne bomba býrakan kadýnýn kaçýþ aný!		2022-11-14T06:49:26Z	UCGgVyu1fB_NblkfsYR-eEjg	Sabah	22.14.11	374812	302
3	https://www.youtube.com/watch?v=hvv36dPOKP0	Kýzýlcýk Þerbeti 3. Bölüm		2022-11-11T21:00:25Z	UCRfLDCtkSwmTdwHrbmC78Xg	Kýzýlcýk Þerbeti	22.14.11	2206198	3896
4	https://www.youtube.com/watch?v=tSce91urHE8	ÝÞTE TAKSÝM'Ý KANA BULAYAN KADIN BOMBACI! YAKALANMA ANI KAMERADA		2022-11-14T08:24:07Z	UC1uz19Qdhs5LP7UAWpJRgrQ	internethaber	22.14.11	542199	740
5	https://www.youtube.com/watch?v=Fyvo9ED9ne0	Yalý Çapkýný 8. Bölüm		2022-11-11T21:14:05Z	UCyahIZNtNmqK1LeNF0KlFZw	Yalý Çapkýný	22.14.11	11383782	8676
6	https://www.youtube.com/watch?v=wJg397DAGO4	Ýstiklal Caddesi'ne bombayý býrakan kadýn terörist böyle yakalandý		2022-11-14T07:37:19Z	UCV6zcRug6Hqp1UX_FdyUeBg	CNN TÜRK	22.14.11	813127	1902
7	https://www.youtube.com/watch?v=i9gT9k4xWow	Ýstiklal Caddesi'ndeki bombalý saldýrýnýn detaylarý... Terörist ifadesinde ne dedi?		2022-11-14T13:35:37Z	UCV6zcRug6Hqp1UX_FdyUeBg	CNN TÜRK	22.14.11	676501	1445
8	https://www.youtube.com/watch?v=HW2aGugl6R8	Saldýrganýn Asýl Hedefi Neresiydi? Canlý Yayýnda Anlattý!		2022-11-14T17:56:04Z	UCi65FGbYYj-OzJm2luB_fNQ	ÜLKE TV	22.14.11	459201	1022
9	https://www.youtube.com/watch?v=FzmxAJShZx0	100.000 TL FÝRST CLASS UÇAK BÝLETÝ 2		2022-11-12T14:00:06Z	UCG0HA4uyuuzPzeq_US_ywVg	Enes Batur	22.14.11	1409082	7049
10	https://www.youtube.com/watch?v=88u1HDcM5o0	Gu?zel Gu?nler 2. Bo?lu?m		2022-11-13T21:00:08Z	UCBq6tAuxXBbEGl-r8WMA-Lg	Güzel Günler	22.14.11	723582	621
11	https://www.youtube.com/watch?v=qxwsZgyB5EM	Saklandýðý evde kýskývrak gözaltýna alýndý!		2022-11-14T16:04:10Z	UC7DDcxd92wR0LzlMKIcHDAA	Show Ana Haber	22.14.11	217180	878
12	https://www.youtube.com/watch?v=d_LjX1BoSLg	TOFAÞTAN UÇAN ARABA YAPTIK @PUBG MOBILE Espor Türkiye		2022-11-12T12:00:11Z	UCnmpbMhbYd2P8OgFeGyqqSA	Mami Emen	22.14.11	862698	23131
13	https://www.youtube.com/watch?v=LTVtox3lUFA	SON DAKÝKA - Taksim - Ýstiklal Caddesi'nde Patlama Oldu!		2022-11-13T14:20:42Z	UCtc-a9ZUIg0_5HpsPxEO7Qg	Haber Global	22.14.11	1238691	2259
14	https://www.youtube.com/watch?v=v-jrFbVE_zA	Taksim'i kana bulayan terörist yakalandý! - atv Haber 14 Kasým 2022		2022-11-14T12:22:34Z	UCdggatDzQjGWnqY1WvqgtXA	atv Haber	22.14.11	173897	320
14	https://www.youtube.com/watch?v=K8D79X0Jn9c	Müge Anlý ile Tatlý Sert | 14 Kasým 2022 Pazartesi		2022-11-14T11:53:53Z	UC0XZpoAPTm_1UJvFQiVg_hg	Müge Anlý ile Tatlý Sert	22.14.11	1106030	46
16	https://www.youtube.com/watch?v=Job1V2H8mXo	Taksim'deki bombalý saldýrýyý gerçekleþtiren terörist böyle yakalandý		2022-11-14T07:24:32Z	UCBgTP2LOFVPmq14W-RH-WXA	TRT Haber	22.14.11	412090	1413
17	https://www.youtube.com/watch?v=e2nEYpmPkaE	YÜRÜYEN MERDÝVENDEN SON ÝNEN KAZANIR !? @Sýla Dündar @Mert Eren @Feride Özdinç		2022-11-11T16:00:34Z	UCElVbb5m1oI0-Mijb8ij0sw	Ahmet Can Dündar	22.14.11	1113205	5371
18	https://www.youtube.com/watch?v=6zLnlEQG0D8	ÝSTÝKLAL SALDIRISININ ÞÝFRELERÝ VE SONUÇLARI NE?		2022-11-14T10:05:43Z	UCkwHQ7DWv9aqEtvAOSO74dQ	Cüneyt Özdemir	22.14.11	225488	357
19	https://www.youtube.com/watch?v=b4GR8_g3OEU	ALÝ SUNAL SORDU BEN YANITLADIM		2022-11-13T06:07:49Z	UCT0byua4qIz2wtrmnXoPK6w	Ekrem Ýmamoðlu	22.14.11	364745	875
20	https://www.youtube.com/watch?v=f9YwbgxNEu0	Kýzýlcýk Þerbeti 4. Bölüm 2. Fragmaný | En azýndan birisi beni takdir ediyor!		2022-11-14T18:56:00Z	UCRfLDCtkSwmTdwHrbmC78Xg	Kýzýlcýk Þerbeti	22.14.11	601328	521
21	https://www.youtube.com/watch?v=P4PJJD41g20	Dad Pranking Children’s ????		2022-11-12T13:42:49Z	UCNRl8nOCoUvki2FNFxQZgEg	dednahype	22.14.11	12442145	216
22	https://www.youtube.com/watch?v=aqW4xXUgmno	[CHOREOGRAPHY] BTS (?????) '??? ?? (Run BTS)' Dance Practice		2022-11-13T10:00:02Z	UCLkAepWjdylmXSltofFvsYQ	BANGTANTV	22.14.11	12681197	82923
23	https://www.youtube.com/watch?v=x9ozL6ts02k	Erman Toroðlu YENÝLMEZ ARMADA GALATASARAY'I Öve Öve Bitiremedi! (Baþakþehir 0-7 Galatasaray)		2022-11-12T19:37:14Z	UC-uNDqkestIRRNuE8QhROqw	Galatasaray Haberleri	22.14.11	300503	334
24	https://www.youtube.com/watch?v=cJknr8m9IFk	Bu Bir Mesaj | Yakalanan Taksim Saldýrganýnýn Kýyafeti Dikkat Çekti!		2022-11-14T08:00:14Z	UCtc-a9ZUIg0_5HpsPxEO7Qg	Haber Global	22.14.11	616570	1103
25	https://www.youtube.com/watch?v=6NZhWzmEkKE	TAKSÝM FAÝLLERÝ YAKALANDI! HESAPLAÞMA NASIL OLACAK?		2022-11-14T12:52:21Z	UC6VKNvOHFbjj41jiSQ5wfAw	Abdurrahman Uzun	22.14.11	140165	1749
26	https://www.youtube.com/watch?v=t-9xKqkW8A4	Sakiler - Yalaný Býrak (Official Video)		2022-11-11T12:00:10Z	UCD9aayaoRKSzV8QtUvq8ehw	Sakiler Müzik	22.14.11	1068923	1687
27	https://www.youtube.com/watch?v=heC2bCFY8Rc	Witty son fights for internetlTikTok Creative Humor Video lFunny Video Long Mom#Shorts		2022-10-21T10:00:36Z	UCobCsXaWsPawN22tXWH0cbw	GuiGe	22.14.11	21930925	450
28	https://www.youtube.com/watch?v=1wyfIGN49Qg	Süleyman Soylu'dan ABD'ye Taksim Tepkisi: Taziye Mesajýnýzý Kabul Etmiyoruz! - TGRT Haber		2022-11-14T08:52:51Z	UCzgrZ-CndOoylh2_e72nSBQ	TGRT Haber TV	22.14.11	211164	1133
29	https://www.youtube.com/watch?v=eE0TD1Asro0	"Kardeþime Yeni Araba Aldým! - Vlog"",""2022-11-12T16:30:05Z"",""UCnPUB-DTfgIO-p-xOPhV9jw"		2022-11-12T16:30:05Z	UCnPUB-DTfgIO-p-xOPhV9jw	Mendebur Lemur	22.14.11	543375	2171
30	https://www.youtube.com/watch?v=Vn9LKsa28oM	Kýyma | 2. Sezon Finali | Fragman		2022-11-12T16:01:35Z	UCgwVmujVzvH8jjCf2e1-W7g	blutv	22.14.11	137432	191
31	https://www.youtube.com/watch?v=bjG-QpbkvAA	Hasanmucci küp þeker ve bulaþýk sabunundan slime yapma deneyi #shorts		2022-11-08T20:01:25Z	UCIfaKPaqVG8qSCjfmkvHeiQ	Hasanmucci	22.14.11	2896334	1053
32	https://www.youtube.com/watch?v=fxk59RG-N-8	Yalý Çapkýný 9. Bölüm 1. Fragmaný | Ben Senin Ýçin Neyim?		2022-11-11T21:12:02Z	UCyahIZNtNmqK1LeNF0KlFZw	Yalý Çapkýný	22.14.11	6563232	3587
33	https://www.youtube.com/watch?v=u1n47F3RyvE	Beyoðlu Ýstiklal Caddesi'nde patlama meydana geldi		2022-11-13T13:47:28Z	UCZslGytOwaEEZPkiE4X47FA	 Orient TV	22.14.11	214599	244
34	https://www.youtube.com/watch?v=juI7LQilLAE	Þaban Sahalara Geri Dönüyor! #shorts		2022-11-14T13:00:26Z	UCE1XdVHzOdMnUsUMatIzjag	Kemal Sunal Filmleri	22.14.11	86639	10
35	https://www.youtube.com/watch?v=D488ox-3u_A	NTV  Bombalý saldýrýyý gerçekleþtiren teröristin yakalanma aný		2022-11-14T08:03:56Z	UC9TDTjbOjFB9jADmPhSAPsw	NTV	22.14.11	79955	110
36	https://www.youtube.com/watch?v=rQTTNHlzdCc	Ýstiklal Caddesi'nde bombalý saldýrý: Bu korkuyu daha önce de yaþadýk biz		2022-11-13T21:14:39Z	UCeMQiXmFNTtN3OHlNJxnnUw	BBC News Türkçe	22.14.11	85142	101
37	https://www.youtube.com/watch?v=CDdwQF6qEYQ	Ýki Kafa, Bir Vücut, CinseI OrganIarý Bile Ortak.. (Sohna ve Mohna’nýn Ýnanýlmaz Hayatý)		2022-11-11T14:10:42Z	UCWpk9PSGHoJW1hZT4egxTNQ	Ruhi Çenet Medya	22.14.11	2253643	3894
38	https://www.youtube.com/watch?v=ovDp2-MesrU	Kardeþlerim 67. Bölüm @atv		2022-11-12T20:56:54Z	UCZLOnq-F5zhTWNUDjcEYByw	KARDEÞLERÝM	22.14.11	3611982	3480
39	https://www.youtube.com/watch?v=b3ftD8y_ieo	PRO FUTBOLCU VS YOUTUBER (Belhanda)		2022-11-12T12:00:19Z	UCxwMixOGCeONIfcuIfT02sw	Nevzat Özkur	22.14.11	339604	527
40	https://www.youtube.com/watch?v=De5jdGmK7Is	Kuruluþ Osman 103. Bölüm @atv		2022-11-09T20:59:07Z	UCGR1XmkoQedeJMT2ajRHvsw	Kuruluþ Osman	22.14.11	4857450	1793
41	https://www.youtube.com/watch?v=7XccnkKNzwg	Ýstiklal Caddesi'nde bombalý saldýrý | Görgü tanýklarý anlatýyor		2022-11-14T10:21:50Z	UCNCVuaQDvPrZ4oTKG90iqOA	Medyascope	22.14.11	140778	111
42	https://www.youtube.com/watch?v=k-jH9aijNLE	Norm Ender - Bu Düþ Çok Güzel		2022-11-10T19:25:32Z	UCiAr3BkNuPdjP-sT1W-uK-w	Norm Ender	22.14.11	1967932	6310
43	https://www.youtube.com/watch?v=VHBiginKECk	VakýfBank ?? Fenerbahçe Opet (Maçýn Tamamý) | 2022-2023 Sultanlar Ligi		2022-11-14T07:28:33Z	UCebdo7-2NdjcktKzco64iNw	TRT SPOR Yýldýz	22.14.11	140308	363
44	https://www.youtube.com/watch?v=iZOWtWFHNgc	AÐRI 250 BÝN SOSYAL KONUT KURASI		2022-11-14T12:42:51Z	UCi8dUZrDSJP2EbSsRNdouxw	TOKÝ	22.14.11	37978	29
45	https://www.youtube.com/watch?v=pEt-cSDy39g	GÜLERSEN, KAYBEDERSÝN! w/  @Son Kabile Emrah Kaman, Murat Kaman, Eray Kaman		2022-11-11T16:01:14Z	UCoWj9KzdFJn72NnVKScWfYg	Soðuk Savaþ	22.14.11	383097	814
46	https://www.youtube.com/watch?v=qmWwrT91rfY	The perfect dotted line challenge		2022-11-10T09:51:21Z	UCoGForHQAmk0_9rI9CABeYw	Woody & Kleiny	22.14.11	44624460	3525
47	https://www.youtube.com/watch?v=OZqCnOSIAjo	Ben bir palyaçoyum! #shorts #196sekiz #doðarutkay		2022-11-10T14:00:10Z	UCmOKW3HzAU7J8Jd-TgzHFxg	196Sekiz Shorts	22.14.11	533225	82
48	https://www.youtube.com/watch?v=KkXQ0hVHRcA	M. Baþakþehir - Galatasaray | 12.11.2022 | %100 Futbol | Rýdvan Dilmen & Murat Kosova  @TV8,5		2022-11-12T21:17:00Z	UCLBwKhRQL0ORY3GB8c2l5cg	Acunn.com	22.14.11	79376	73
49	https://www.youtube.com/watch?v=oRE6Ji6Na50	Müge Anlý ile Tatlý Sert | 11 Kasým 2022 Cuma		2022-11-11T11:08:51Z	UC0XZpoAPTm_1UJvFQiVg_hg	Müge Anlý ile Tatlý Sert	22.14.11	1492207	11
50	https://www.youtube.com/watch?v=kX3nB4PpJko	Last To Take Hand Off Jet, Keeps It!		2022-11-12T21:00:00Z	UCX6OQ3DkcsbYNE6H8uQQuVA	MrBeast	22.14.11	38692540	68193
